	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
451	10	1507657615	1	0	26	15	29	16	196011254
452	66	0	0	0	6	4	5	2	196011254
453	102	0	0	0	19	6	25	11	196011254
454	91	0	0	0	7	2	15	7	196011254
455	82	0	0	0	10	3	22	14	196011254
456	80	0	0	0	8	6	12	5	196011254
457	111	0	0	0	12	7	14	11	196011254
458	107	0	0	0	21	7	17	11	196011254
459	113	0	0	0	7	3	7	4	196011254
460	65	0	0	0	14	4	15	7	196011254
461	119	0	0	0	26	9	28	10	196011254
462	61	0	0	0	7	3	13	6	196011254
463	121	0	0	0	13	6	17	8	196011254
464	6	1535041755	191	98	151	75	193	109	201671352
465	35	1535370470	178	94	280	155	338	168	201671352
466	59	1505402070	148	64	117	43	133	77	201671352
467	4	1453753783	143	73	146	80	176	82	201671352
468	8	1535178826	107	54	137	68	207	117	201671352
469	44	1448217157	77	42	285	145	327	164	201671352
470	32	1449335790	56	28	226	125	262	130	201671352
471	47	1438895642	51	30	116	61	107	52	201671352
472	30	1439849842	36	19	51	24	79	35	201671352
473	36	1535442050	35	29	51	36	55	22	201671352
474	104	1505398856	34	16	66	26	81	37	201671352
475	1	1439568992	22	9	62	25	69	34	201671352
476	28	1440512096	22	13	63	36	58	31	201671352
477	26	1446286392	22	11	87	49	117	59	201671352
478	25	1459452683	21	8	78	42	122	69	201671352
479	2	1521304224	16	12	137	76	178	87	201671352
480	56	1496599146	15	8	50	21	58	38	201671352
481	11	1448703978	15	12	71	42	91	41	201671352
482	41	1436619166	14	7	100	47	114	59	201671352
483	22	1449329089	14	6	96	56	117	64	201671352
484	48	1438944585	11	5	45	19	68	33	201671352
485	49	1440327547	10	5	36	15	25	10	201671352
486	21	1496602440	9	6	85	50	105	50	201671352
487	27	1525518515	8	3	50	26	69	36	201671352
488	23	1526148794	8	5	37	18	39	19	201671352
489	14	1451320548	7	4	198	113	267	141	201671352
490	72	1515697648	7	2	24	9	53	25	201671352
491	95	1438594925	7	2	122	68	125	72	201671352
492	76	1525523359	7	5	26	11	26	14	201671352
493	16	1491658805	7	6	30	18	53	30	201671352
494	77	1448175552	6	5	25	15	29	16	201671352
495	9	1443974854	6	3	53	32	72	35	201671352
496	94	1447089892	6	3	35	16	28	9	201671352
497	73	1535362908	5	4	34	13	37	20	201671352
498	18	1535374303	5	4	58	28	74	37	201671352
499	19	1439846065	5	4	41	21	70	36	201671352
500	39	1461076917	5	2	59	24	66	39	201671352
501	42	1438517710	5	1	98	54	82	40	201671352
502	70	1534010576	5	4	98	55	150	73	201671352
503	50	1492859289	4	2	26	13	32	13	201671352
504	12	1447678645	4	0	78	37	123	68	201671352
505	43	1442408675	4	1	41	10	55	26	201671352
506	67	1535365098	4	4	34	20	39	13	201671352
507	102	1438695685	4	1	29	11	42	16	201671352
508	5	1438524206	4	2	75	46	72	37	201671352
509	105	1432533430	4	4	68	36	90	38	201671352
510	93	1448277787	3	1	85	47	106	57	201671352
511	10	1492255041	3	1	27	8	18	11	201671352
512	90	1439073004	3	0	20	11	35	18	201671352
513	87	1438618708	3	1	23	12	26	14	201671352
514	71	1526153146	3	0	118	59	203	89	201671352
515	53	1461062690	3	0	31	12	42	24	201671352
516	99	1535438990	3	2	52	29	66	31	201671352
517	60	1440062980	3	1	35	18	41	25	201671352
518	74	1461081904	3	1	76	32	104	53	201671352
519	63	1432885369	3	0	36	15	42	18	201671352
520	62	1449338124	3	1	98	57	113	63	201671352
521	81	1432055314	3	3	44	28	60	28	201671352
522	96	1438386842	3	1	26	11	40	19	201671352
523	92	1438374235	2	0	6	3	6	4	201671352
524	3	1438371091	2	1	39	21	13	9	201671352
525	45	1444035839	2	1	16	2	31	17	201671352
526	85	1435082600	2	0	18	10	34	17	201671352
527	34	1521365974	2	1	46	21	62	40	201671352
528	33	1438383456	2	0	23	12	22	11	201671352
529	91	1439843990	2	0	13	6	18	13	201671352
530	52	1438592723	2	1	22	11	23	8	201671352
531	31	1459456947	2	0	19	11	48	25	201671352
532	17	1439057865	2	1	59	22	66	27	201671352
533	98	1434984771	2	1	18	10	24	12	201671352
534	15	1525526373	2	0	56	25	84	44	201671352
535	101	1439370500	2	0	31	11	34	18	201671352
536	88	1447675306	1	0	25	11	31	17	201671352
537	111	1434389860	1	0	5	1	13	10	201671352
538	66	1438951812	1	0	16	7	15	11	201671352
539	46	1417875052	1	1	48	19	49	27	201671352
540	69	1451325363	1	1	18	9	17	11	201671352
541	75	1446280533	1	0	42	24	50	20	201671352
542	40	1432185426	1	1	36	19	32	17	201671352
543	78	1438874285	1	1	7	4	15	9	201671352
544	79	1432267352	1	0	5	3	13	8	201671352
545	80	1434202574	1	0	17	8	16	9	201671352
546	100	1451337295	1	0	35	21	51	28	201671352
547	83	1424777098	1	1	8	4	21	9	201671352
548	13	1430998018	1	0	22	10	34	18	201671352
549	7	1429548326	1	0	68	39	109	41	201671352
550	54	1535368050	1	0	42	16	51	27	201671352
551	106	1423572557	1	1	40	20	33	26	201671352
552	108	1523705370	1	0	0	0	0	0	201671352
553	89	0	0	0	21	9	13	6	201671352
554	65	0	0	0	17	7	12	8	201671352
555	51	0	0	0	18	9	25	13	201671352
556	29	0	0	0	16	8	24	11	201671352
557	20	0	0	0	46	29	50	31	201671352
558	37	0	0	0	30	13	41	20	201671352
559	97	0	0	0	27	13	24	14	201671352
560	82	0	0	0	29	17	39	19	201671352
